,lat,lon,indicativo,cluster
0,413515,23224,0252D,7
1,411734,20412,0076,7
2,412506,20727,0200E,7
3,412326,21200,0201D,7
4,414312,15025,0149X,7
5,413125,20611,0229I,7
6,413903,24149,0255B,7
7,415442,24548,0367,7
8,415848,24931,0370B,7
9,420616,24549,0372C,7
10,421129,21146,0324A,7
11,410842,10949,0016A,7
12,405729,5217,0002I,3
13,431825,-82219,1387E,0
14,432157,-82517,1387,0
15,430938,-91239,1393,0
16,434710,-74105,1351,0
17,425529,-91729,1400,0
18,424314,-85524,1437O,0
19,424418,-83738,1473A,0
20,425317,-82438,1428,0
21,425234,-83321,1475X,0
22,433401,-60239,1212E,10
23,433409,-62812,1283U,10
24,433921,-55055,1210X,10
25,433129,-70153,1331A,0
26,433123,-53716,1207U,10
27,433230,-53943,1208A,10
28,433336,-54203,1208H,10
29,433220,-53815,1208,10
30,432513,-44453,1183X,6
31,432112,-55227,1249I,10
32,432112,-55227,1249X,10
33,425843,-54635,1221D,10
34,425939,-62451,1542,10
35,431753,-25423,1082,16
36,431212,-30617,1078I,6
37,432237,-23037,1055B,16
38,432714,-24510,1057B,16
39,432230,-30118,1059X,6
40,432341,-31402,1083L,6
41,432336,-42332,1159,6
42,432526,-34932,1109,6
43,432754,-34908,1110,6
44,432928,-34802,1111,6
45,432928,-34802,1111X,6
46,431823,-20228,1024E,16
47,431234,-22448,1050J,16
48,432125,-14732,1014,16
49,432125,-14732,1014A,16
50,431808,-21504,1041A,16
51,430448,-21903,1037Y,16
52,423350,-63600,1549,10
53,430641,-72727,1505,0
54,430809,-13235,1002Y,16
55,422022,-71657,1631E,0
56,422517,-80533,1700X,0
57,421956,-75152,1690B,0
58,421931,-75135,1690A,0
59,420445,-74401,1735X,0
60,422550,-83850,1484,0
61,422618,-83657,1484C,0
62,421419,-83726,1495,0
63,403924,-44201,2444C,4
64,403933,-44048,2444,4
65,402102,-50835,2811A,4
66,413957,-34434,2117D,13
67,422125,-33713,2331,6
68,415735,-30754,2298,13
69,422239,-61148,2737E,10
70,423558,-53837,2661B,10
71,423518,-53904,2661,10
72,430344,-52237,2630X,10
73,404735,-40038,2462,4
74,415944,-43610,2400E,4
75,422103,-43702,2374X,6
76,425214,-43112,2235U,6
77,420018,-43145,2401,6
78,402118,-54124,2491C,4
79,403806,-63600,2946X,12
80,405734,-52954,2867,4
81,405727,-53944,2870,4
82,410041,-62616,2916A,12
83,411131,-32831,2150H,13
84,405648,-40657,2465A,4
85,405643,-40735,2465,4
86,414630,-22859,2030,18
87,411933,-44113,2503X,4
88,414243,-45120,2539,4
89,413827,-44516,2422,4
90,420039,-54000,2755X,10
91,415629,-61647,2775X,10
92,413056,-54407,2614,4
93,401719,-43527,3391,4
94,392833,-62235,3469,12
95,392817,-62020,3469A,12
96,400013,-63327,3526X,12
97,395645,-53457,3434X,12
98,400235,-60509,3519X,12
99,392857,-55115,3463X,12
100,392453,-71352,3576X,12
101,403149,-20900,3044X,18
102,400041,-30117,3094B,13
103,403933,-31024,3168C,13
104,403805,-31000,3168A,13
105,403749,-30900,3168D,13
106,405030,-15244,3013,18
107,410511,-23705,3130C,18
108,400402,-33246,3100B,13
109,410025,-33649,3110C,13
110,404146,-34554,3191E,13
